FID,FID_,county,route_id,route_name,segment_id,segmt_name,steward_id,stew_unit,stew_type,segmt_type,route_type,foot,bicycle,horse,wheelchair,motor_vehi,etc_app,stew_name,length_f_1,length_m,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Length
13,0,Los Angeles, , ,0,Long Beach City Beach - Junipero Beach,las11,City of Long Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,City of Long Beach,7590,2313,f30cec4d-b41e-4416-892f-8bdc7914c8fa,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2313.36053882501
14,0,Los Angeles, , ,0,to Long Beach City Beach - Alamitos Beach,las11,City of Long Beach,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Long Beach,627,191,ff74bb29-fb4a-41e8-9ac7-247a9d0634a8,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,191.074160706926
15,0,Los Angeles, , ,0,sidewalk to Alamitos Beach Parking Lot,las11,City of Long Beach,City,Primary CCT,Sidewalk,yes,yes,no,no,yes,no,City of Long Beach,494,151,73bdc9a7-be71-4bf8-9e2e-ac7913a6f44d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,150.527133948822
16,0,Los Angeles, , ,0,Shoreline Village Drive,las11,City of Long Beach,City,Secondary CCT,Sidewalk,yes,yes,no,yes,no,no,City of Long Beach,701,214,35edda3b-f461-444f-86f8-04194cdf9511,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,213.573441779036
17,0,Los Angeles, , ,0,Ocean Trails Reserve - Coastal Switchback Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Rancho Palos Verdes,1199,366,a43fb67e-141b-47ea-92a4-ff448b2998ab,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,365.514918126391
18,0,Los Angeles, , ,0,Ocean Trails Reserve - Southshore Coastal Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Rancho Palos Verdes,416,127,26b61ec8-2923-44b2-864c-2dc127752d90,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,126.840186160035
19,0,Los Angeles, , ,0,Shoreline Park - Sagebrush Walk Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,yes,no,no,no,no,City of Rancho Palos Verdes,116,35,4fd371f0-894e-4785-832a-02c704d3a656,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,35.3709750199775
20,0,Los Angeles,lat27,Catalina Trail (Ocean Trails Ecological Reserve),la153,Ocean Trails Reserve - Catalina Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Rancho Palos Verdes,3714,1132,6cde9619-9aaf-4c43-8ead-a8af1eb08f91,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1131.96789118082
21,0,Los Angeles,lat27,Catalina Trail (Ocean Trails Ecological Reserve),la154,Shoreline Park - Sagebrush Walk Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,yes,no,no,no,yes,City of Rancho Palos Verdes,1124,343,7febd9a2-2c0d-4197-8163-67ba07b9bd50,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,342.651499289316
22,0,Los Angeles, , ,0,Shoreline Park - Shoreline Park Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,yes,no,no,no,no,City of Rancho Palos Verdes,340,104,08c5dab1-a72f-4701-bb5a-639b9823fce4,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,103.660610477581
23,0,Los Angeles, , , ,to Abalone Cove Beach,las12,City of Rancho Palos Verdes - MRCA,City,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,City of Rancho Palos Verdes,32,10,56573ed3-bb8a-4fbe-b9ce-9f259033edbf,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,9.74978304776722
24,0,Los Angeles,lat13,Royal Palms County Beach Route,la221,Rancho Palos Verdes Beach,las12,City of Rancho Palos Verdes,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,City of Rancho Palos Verdes,7965,2428,0d901c0c-10db-48bc-8e7c-3e00b50bcfd8,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2427.74798135043
25,0,Los Angeles,lat24,Terranea Trail,la133,Pelican Cove Park Trail,las12,City of Rancho Palos Verdes,City,Primary CCT,Trail,yes,yes,no,no,no,yes,City of Rancho Palos Verdes,471,143,963cb8c0-ca77-47ec-9ba1-e5c70a0911fe,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,143.415945327123
26,0,Los Angeles,lat23,Vicente Bluffs Reserve,la130,Point Vicent Interpretive Ctr to Pelican Cove Park,las12,City of Rancho Palos Verdes,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Rancho Palos Verdes,870,265,13136ed4-4507-4e08-bb70-45e6d4cab22c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,265.058666017596
27,0,Los Angeles,lat23,Vicente Bluffs Reserve,la131,Vicente Bluffs Reserve - Alta Vicente Trail,las12,City of Rancho Palos Verdes,City,Other Trail,Trail,yes,no,no,no,no,yes,City of Rancho Palos Verdes,5361,1634,5d9930c2-e253-45a5-a010-431532a6f60c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1634.07429086933
28,0,Los Angeles, , ,0,Terranea Resort Trails - overlook,Private,Terranea Resort,Private,Primary CCT,Overlook,yes,no,no, ,no,no,Private,141,43,874723a8-07a8-4d34-a7c2-5abb01126123,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,43.0075872379972
29,0,Los Angeles, , ,0,Terranea Resort Trails,Private,Terranea Resort,Private,Primary CCT,Trail,yes,no,no,no,no,no,Private,588,179,ac833cf2-54d0-4455-9819-2c5f82e54bfd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,179.335655767417
30,0,Los Angeles,lat24,Terranea Trail,la134,Terranea Beach Trail,Private,Terranea Resort,Private,Primary CCT,Trail,yes,no,no,no,no,yes,Private,852,260,58d74e44-4bcc-4aaa-81ab-31738aaaf593,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,259.719492475085
31,0,Los Angeles, , ,0,Terranea Beach,ca4,State tidelands,State,Beach or Shoreline Route CCT,Beach,yes,no,no, ,no,no,State Of California - undefined,242,74,9793195c-18b3-4768-8f9d-ffaab8877a0d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,73.7971969378438
32,0,Los Angeles, , ,0,to Terranea Beach,Private,Terranea Resort,Private,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,Private,77,24,d903bbb9-8c20-48d4-8791-53b53a32459c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,23.5555305670601
33,0,Los Angeles, , ,0,to Pelican Cove Beach,las12,City of Rancho Palos Verdes,City,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,City of Rancho Palos Verdes,31,9,bccb8299-527d-468b-85a2-2bea9a6ffca6,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,9.39189698277447
34,0,Los Angeles,lat31,Cabrillo Marina Path,la167,Cabrillo Beach Marina waterfront walkway,las15,Port of Los Angeles,Special District,Primary CCT,waterfront walkway,yes,no,no,yes,yes,yes,Port of Los Angeles,12510,3813,8b125a51-e783-4393-80b7-9ede33a6e15f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,3813.14666361284
35,0,Los Angeles,lat31,Cabrillo Marina Path,la240,LA Harbor paths,las15,Port of Los Angeles,Special District,Secondary CCT,Trail,yes,yes,no, ,no,yes,Port of Los Angeles,1305,398,e94ae2b6-63d7-42e6-a69d-9f32f9553b2c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,397.652672952922
36,0,Los Angeles, , ,0,LA Harbor - Maritime Museum to Fire Station,las15,Port of Los Angeles,Special District,Primary CCT,Trail,yes,no,no,yes,no,no,Port of Los Angeles,1721,524,81d2d773-56b9-4edb-9dcf-c7c9d64d6bd3,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,524.46236600827
37,0,Los Angeles, , ,0,LA Harbor - Cruise Ship Terminal - SS Iowa Museum,las15,Port of Los Angeles,Special District,Secondary CCT,Trail,yes,yes,no, ,no,no,Port of Los Angeles,4612,1406,cb451065-48b1-41da-8525-e716464e53fd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1405.60414278104
38,0,Los Angeles,lat32,LA Harbor West Path,la175,LA Harbor paths,las15,Port of Los Angeles,Special District,Primary CCT,Trail,yes,yes,no,yes,no,yes,Port of Los Angeles,1836,559,ff792dbd-3e43-4946-a539-595995c24336,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,559.465504884475
39,0,Los Angeles,lat31,Cabrillo Marina Path,la168,22nd Street Park,las15,Port of Los Angeles,Special District,Secondary CCT,Trail,yes,no,no,no,no,yes,Port of Los Angeles,2180,664,b5d967f1-ee37-42d3-a8b4-8654430eece9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,664.491877913331
40,0,Los Angeles,lat32,LA Harbor West Path,la170,San Pedro Plaza Park to E 6th St,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,yes,no,no,no,yes,City of Los Angeles,4630,1411,9b9bc004-edb0-4fa4-8b84-517207c8b493,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1411.35167685028
41,0,Los Angeles,lat32,LA Harbor West Path,la171,Via Cabrillo Marina to San Pedro Plaza Park,las6,City of Los Angeles - San Pedro,City,Secondary CCT,Trail,yes,yes,no,no,no,yes,City of Los Angeles,3076,938,dde9d7dd-d033-48a9-9f84-a4646c531474,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,937.637213875212
42,0,Los Angeles, , ,0,North Front Ave - North Pacific Ave,las6,City of Los Angeles,City,Secondary CCT,Sidewalk,yes,yes,no, ,yes,no,City of Los Angeles,6758,2060,d66eca5f-6993-4409-b468-2edf91f59706,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2059.8660664355
43,0,Los Angeles,lat43,LA River Trail,la242,LA River Trail,las6,City of Los Angeles,City,Secondary CCT,Trail,yes,yes,no, ,no,yes,City of Los Angeles,7787,2374,50d65ab2-b43b-432a-a4bd-92901264c957,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2373.52495458773
44,0,Los Angeles,lat34,Long Beach Waterfront Trail,la179,Long Beach Waterfront Trail,las11,City of Long Beach,City,Secondary CCT,Trail,yes,yes,no,yes,no,yes,City of Long Beach,680,207,c834b8f8-d442-4f99-95e5-1874569d8a6e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,207.241828571063
45,0,Los Angeles, , ,0,Shoreline Drive - Marina Green Park,las11,City of Long Beach,City,Secondary CCT,Sidewalk,yes,yes,no, ,yes,no,City of Long Beach,3737,1139,632aee8e-b67e-4c18-9962-800f5dd3c8f4,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1139.03732689588
46,0,Los Angeles,lat26,Portuguese Bend Beach Route,la145,Portugese Bend Beach,ca4,State tidelands,State,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,State Of California - undefined,6517,1986,498ee0f9-8b3f-4ce1-9262-9b22fae4e066,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1986.25877085223
47,0,Los Angeles,lat13,Royal Palms County Beach Route,la222,Royal Palms County Beach Patio Area,las1,Los Angeles County Dept of Beaches and Harbors,County,Primary CCT,Trail,yes,no,no,no,no,yes,County of Los Angeles,763,233,3afaddda-9cce-4f90-9c0e-8203a3961058,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,232.622883945101
48,0,Los Angeles,lat13,Royal Palms County Beach Route,la228,to Royal Palms County Beach,las1,Los Angeles County Dept of Beaches and Harbors,County,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,County of Los Angeles,51,16,84f2f6e2-2f31-4c36-9e41-86c1b1d4cfd2,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,15.5998160062971
49,0,Los Angeles,lat28,White Point Trail,la150,White Point County Park trails,las1,Los Angeles County Dept of Beaches and Harbors,County,Primary CCT,Trail,yes,no,no,yes,no,yes,County of Los Angeles,735,224,5cafbcef-a5f6-446f-96ac-6d716bbcb682,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,224.064765099634
50,0,Los Angeles, , ,0,White Point County Park trails,las1,Los Angeles County Dept of Beaches and Harbors,County,Primary CCT,Trail,yes,no,no, ,no,no,County of Los Angeles,25,8,af8d7086-fe51-4971-925a-aae2898c14b7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,7.66606705700938
51,0,Los Angeles, , ,0,White Point County Park trails,las1,Los Angeles County Dept of Beaches and Harbors,County,Primary CCT,Trail,yes,no,no, ,no,no,County of Los Angeles,1174,358,db6e28f4-892e-4c1c-b343-3b033b67c600,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,357.973753035567
52,0,Los Angeles, , ,0,to White Point County Beach,las1,Los Angeles County Dept of Beaches and Harbors,County,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,County of Los Angeles,68,21,0fcb743c-a38e-4a44-a21b-68c6c055051a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,20.8564574913619
53,0,Los Angeles,lat28,White Point Trail,la151,White Point Nature Preserve - Grasslands Trail,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Los Angeles,1772,540,d9e10d4f-f473-4a71-8a89-668252d7240a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,540.166475984965
54,0,Los Angeles,lat28,White Point Trail,la152,Paseo Del Mar - to White Point Park,las6,City of Los Angeles - San Pedro,City,Primary CCT,Sidewalk,yes,yes,no,no,no,yes,City of Los Angeles,838,255,491d54ff-2f2f-4538-bf50-76ca9ef7565e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,255.492994115885
55,0,Los Angeles,lat29,Point Fermin Trail,la156,Point Fermin Park - Wilders Park Addition,las6,City of Los Angeles,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Los Angeles,1808,551,bf45baf1-f3cb-4f58-9402-ace07af42ee1,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,551.101539370477
56,0,Los Angeles, , ,0,Point Fermin Parktrails at Lighthouse,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Los Angeles,914,278,2c72d11f-d8ff-4f82-ad8d-8cd0ea0f4b3e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,278.475237431469
57,0,Los Angeles, , ,0,Point Fermin Parktrails at Lighthouse,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Los Angeles,687,209,911f87ac-be3b-47d1-847a-2e26b13641c0,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,209.353884265825
58,0,Los Angeles, , ,0,Point Fermin Parktrails at Lighthouse,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Los Angeles,198,60,1ebe05ef-32bc-4a1e-a8fa-c2af6189a045,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,60.3543128170976
59,0,Los Angeles, , ,0,Point Fermin Parktrails at Lighthouse,las6,City of Los Angeles - San Pedro,City,Primary CCT,Trail,yes,no,no, ,no,no,City of Los Angeles,363,111,e85e8fe4-ed0f-4e95-a605-a939009be309,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,110.766333271616
60,0,Los Angeles,lat28,White Point Trail,la153,White Point Nature Preserve - Loop Trail,las6,City of Los Angeles - San Pedro,City,Other Trail,Trail,yes,no,no,no,no,yes,City of Los Angeles,6361,1939,357ce684-01e4-4f51-8c04-60e8c16e03e6,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1938.74751354418
61,0,Los Angeles,lat29,Point Fermin Trail,la161,Blufftop view area - S Pacific Ave and Bluff Place,las6,City of Los Angeles - San Pedro,City,Primary CCT,Sidewalk,yes,yes,no,no,yes,yes,City of Los Angeles,641,196,a1d9b72c-6247-487f-baa4-26a71f66e6be,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,195.503345468844
62,0,Los Angeles, , ,0,Shepard St.,las6,City of Los Angeles - San Pedro,City,Secondary CCT,Sidewalk,yes,yes,no, ,yes,no,City of Los Angeles,186,57,95ea68d3-bc29-4114-8325-438fe1f2fa8e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,56.6474473529659
63,0,Los Angeles, , ,0,Paseo del Mar,las6,City of Los Angeles - San Pedro,City,Secondary CCT,Sidewalk,yes,yes,no, ,yes,no,City of Los Angeles,174,53,247907f0-401c-47bc-8cd0-4e2f9809ba36,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,52.8977468166212
64,0,Los Angeles, , ,0,Sunken City Trail,las6,City of Los Angeles - San Pedro,City,Primary CCT - Needs Improvement,Trail,yes,no,no, ,no,no,City of Los Angeles,684,209,b1425098-8add-4b2b-8ea2-f325755375c7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,208.529695746525
65,0,Los Angeles,lat29,Point Fermin Trail,la162,Stephen M White Drive,las6,City of Los Angeles - San Pedro,City,Primary CCT,Sidewalk,yes,yes,no,no,yes,yes,City of Los Angeles,619,189,e27ed4af-17ec-43fa-aaab-2b0428af4b25,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,188.698695295161
66,0,Los Angeles,lat25,Abalone Cove Shoreline Park Trails,la136,Abalone Cove Beach Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Rancho Palos Verdes,1430,436,27227410-77b9-4991-813b-803bed78552e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,435.89905327181
67,0,Los Angeles,lat25,Abalone Cove Shoreline Park Trails,la137,Abalone Cove Shoreline Park - Via de Campo Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,yes,no,no,no,yes,City of Rancho Palos Verdes,1979,603,9db70910-51f3-421d-a917-114e1a30071b,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,603.072235309619
68,0,Los Angeles, , ,0,ramp to Abalone Cove Beach,las12,City of Rancho Palos Verdes - MRCA,City,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,City of Rancho Palos Verdes,117,36,7a8358a7-c1e8-4176-a6a0-565c9f01bc18,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,35.5341389661426
69,0,Los Angeles, , ,0,stairs to Abalone Cove Beach,las12,City of Rancho Palos Verdes - MRCA,City,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,City of Rancho Palos Verdes,45,14,d49c476a-1f03-4060-a04e-8e3e34c16a9e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,13.6954948689793
70,0,Los Angeles, , ,0,Abalone Cove Shoreline Prk - School Beach Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,yes,no, ,no,no,City of Rancho Palos Verdes,1493,455,1c88b097-7404-4a9f-a17c-902e6e7cd161,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,455.060055192463
71,0,Los Angeles,lat25,Abalone Cove Shoreline Park Trails,la138,Abalone Cove Shoreline Prk - Sea Dahlia Trail,las12,City of Rancho Palos Verdes - MRCA,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Rancho Palos Verdes,1151,351,ad355897-bc5d-456b-84c1-25697d2023f7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,350.705698947404
